date,PX_OPEN,PX_LAST,PX_HIGH,PX_LOW,VOLUME
2015-01-11,276.01,267.27,282.86,265.83,22815.02462
2015-01-12,267.54,268.75,274.44,266.24,21418.47996
2015-01-13,268.6,228.07,269.66,219,150459.1019
2015-01-14,228.49,182,228.49,166.45,269565.2998
2015-01-15,181,209.81,230.74,179.05,184371.6535
2015-01-16,209.81,208.5,223.1,197.72,80331.46519
2015-01-17,208.52,201.24,214,192.2,48913.36512
2015-01-18,200.31,211.03,222,194,65568.72956
2015-01-19,210.98,216.2,219.95,207,32438.30549
2015-01-20,216.14,212.11,219.25,203.7,52169.9645
2015-01-21,212.1,228.08,230,211,57794.88598
2015-01-22,228.05,234.7,242,225.29,57343.01438
2015-01-23,234.7,233.12,236.98,225.13,40153.10222
2015-01-24,233.37,248.66,249.77,229.03,40097.04259
2015-01-25,248.94,254.73,259.39,245,54049.0814
2015-01-26,254.72,276.01,315,254.65,205992.0247
2015-01-27,276.01,265.09,280.37,250,81712.86715
2015-01-28,265.55,234.5,269.97,226.35,87045.98063
2015-01-29,234.49,233.01,239.33,220,60109.92091
2015-01-30,233.7,226.45,243.89,224.22,51257.89171
2015-01-31,226.47,215.8,234.03,213.1,48929.51091
2015-02-01,215.91,226.92,233.32,211.02,55663.95598
2015-02-02,226.86,238.99,247.5,222.5,52340.3435
2015-02-03,238.86,227.96,248.42,222.66,81380.30367
2015-02-04,227.81,227.8,233,220.23,44328.27883
2015-02-05,227.79,216.47,228.8,210.12,37869.95924
2015-02-06,216.43,222.65,225.88,215,35652.27923
2015-02-07,222.66,228.8,239.78,222.66,35471.83677
2015-02-08,228.8,223.85,232.9,221.1,26127.26355
2015-02-09,224.13,220.48,225.98,215.33,48175.34836
2015-02-10,220.48,220.87,223.88,214,29287.58484
2015-02-11,220.75,219.8,224.4,218.1,19279.64534
2015-02-12,219.8,222.39,223.2,217.8,19995.20975
2015-02-13,222.56,236.13,242.5,221.46,68319.49566
2015-02-14,235.8,257,261.3,235.51,80559.73017
2015-02-15,257.01,235.88,268.54,228.2,103145.2982
2015-02-16,235.34,233.5,243.65,228.62,47236.52234
2015-02-17,233.5,244,246.28,231.5,40898.78594
2015-02-18,243.82,236.26,244.99,231.01,39347.85943
2015-02-19,236.27,240,243.42,234.97,23847.93734
2015-02-20,240.2,244.5,248.98,238.95,31341.12721
2015-02-21,244.51,245.54,247.73,243.28,16187.3669
2015-02-22,245.53,236.5,247.78,232.1,33576.50106
2015-02-23,236.5,239.4,241,232.61,23852.27132
2015-02-24,239.33,239.73,240.99,236.7,16615.81456
2015-02-25,239.95,237.99,240.83,235.53,13529.62773
2015-02-26,237.98,236.93,238.33,233.62,18687.24687
2015-02-27,236.93,255.05,262.8,236.64,69855.13329
2015-02-28,255.06,255.7,257.4,251.25,17286.14557
2015-03-01,255.7,262.4,266.91,245.65,47597.42467
2015-03-02,262.47,277.41,279.61,258.98,67168.4405
2015-03-03,277.3,283.75,294,267.04,81226.3983
2015-03-04,283.8,273.33,285.99,267,71521.58777
2015-03-05,272.92,277.69,284.99,262,66108.88463
2015-03-06,277.69,273.36,279.75,268.8,40276.57197
2015-03-07,273.27,276.97,280.76,270.55,22856.9456
2015-03-08,276.98,275.59,278.68,271.61,13853.79489
2015-03-09,275.58,291,295,275.01,62908.37768
2015-03-10,291.04,292.62,303.96,289.03,67389.78219
2015-03-11,292.64,296.6,298.75,291,25811.47179
2015-03-12,296.52,295.55,298.8,291.04,27275.11756
2015-03-13,295.52,283.18,295.91,282.13,46670.67482
2015-03-14,283.18,282.6,287.6,281.36,23011.19746
2015-03-15,282.54,286.9,287.8,281.59,13427.56795
2015-03-16,286.71,291.22,295.2,286.45,22313.42462
2015-03-17,291.24,285.25,292.9,281.56,22235.36985
2015-03-18,285.11,257.21,285.25,248,89923.41573
2015-03-19,257.2,261.98,269.5,246.98,78451.53718
2015-03-20,261.7,262.19,267,259.36,16197.47797
2015-03-21,262.18,260.47,263.01,255.1,15082.64922
2015-03-22,260.6,268.82,270.8,259.74,18263.49076
2015-03-23,268.6,267.23,271.5,262,23532.38493
2015-03-24,267.31,246,268.4,241.39,64117.86987
2015-03-25,246,246.29,250.95,235.7,53254.53178
2015-03-26,246.29,249.33,255,244.5,33260.96841
2015-03-27,249.21,246.5,250.45,245.23,22731.11194
2015-03-28,246.5,252.95,255.96,246.49,17724.68773
2015-03-29,252.9,242.74,253.01,238.89,31825.76835
2015-03-30,242.9,247.93,250.98,236.24,30725.35992
2015-03-31,247.93,244.51,248.8,242,22340.60195
2015-04-01,244.56,246.93,248.71,239.21,23555.26958
2015-04-02,247.07,253.23,254.94,243,26215.5431
2015-04-03,253.33,254.24,256.49,250.31,28294.99282
2015-04-04,254.24,253.6,255.7,250.32,9458.996559
2015-04-05,253.7,260.5,261.25,251.55,23998.87449
2015-04-06,260.75,255.73,262.45,253.4,20821.28788
2015-04-07,255.62,253.7,257.9,253.01,10602.25212
2015-04-08,253.7,244.92,254.99,242.72,39627.09143
2015-04-09,244.94,243.58,246.79,236.5,22642.23555
2015-04-10,243.56,236.12,243.74,230.75,37332.55696
2015-04-11,236.12,236.86,240.58,233.72,17745.94356
2015-04-12,236.83,236.38,238.7,232.38,10100.95286
2015-04-13,236.21,224.9,237.7,220.14,47137.09401
2015-04-14,224.9,220.16,225.75,216.37,40768.83003
2015-04-15,220.1,223.98,224.75,219.01,24034.52461
2015-04-16,223.8,228.14,230,223.01,28949.22754
2015-04-17,228.23,222.4,228.98,219.58,27060.86075
2015-04-18,222.39,223.08,224.16,219.94,11898.00868
2015-04-19,223.23,222.16,227,222.1,17571.78547
2015-04-20,222.28,224.21,227,221.24,19932.04807
2015-04-21,224.21,236.96,236.99,224.16,31768.42309
2015-04-22,236.18,234.14,238.99,232,22065.58915
2015-04-23,234.35,236.01,237.22,233,8848.921208
2015-04-24,235.82,231.38,236.51,228.7,22481.38343
2015-04-25,231.21,226.01,232.7,225.35,13390.72876
2015-04-26,226.1,219.7,226.84,213.92,40909.6565
2015-04-27,219.73,226.91,232.49,218.24,35237.99532
2015-04-28,227.44,225.3,228.05,222.16,17189.69733
2015-04-29,225.3,225.23,227.8,222.66,12204.23709
2015-04-30,225.56,236.11,240.89,224.63,41361.85776
2015-05-01,236.18,231.78,239.25,231.26,17016.63986
2015-05-02,231.75,234.81,235.79,231.75,8932.200582
