date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
2017-06-14,110.05,110.36,108.81,109.54
2017-06-13,109.93,110.28,109.8,110.05
2017-06-12,110.35,110.44,109.6,109.93
2017-06-09,109.99,110.81,109.73,110.35
2017-06-08,109.8,110.42,109.36,109.99
2017-06-07,109.41,109.91,109.09,109.8
2017-06-06,110.44,110.52,109.2,109.41
2017-06-05,110.34,110.73,110.23,110.44
2017-06-02,111.33,111.72,110.3,110.34
2017-06-01,110.75,111.48,110.65,111.33
2017-05-31,110.83,111.25,110.45,110.75
2017-05-30,111.24,111.35,110.64,110.83
2017-05-29,111.3,111.48,111.14,111.24
2017-05-26,111.82,111.89,110.85,111.3
2017-05-25,111.47,111.95,111.46,111.82
2017-05-24,111.75,112.12,111.45,111.47
2017-05-23,111.29,111.86,110.84,111.75
2017-05-22,111.3,111.62,110.87,111.29
2017-05-19,111.47,111.7,111.02,111.3
2017-05-18,110.81,111.73,110.21,111.47
2017-05-17,113.11,113.14,110.76,110.81
2017-05-16,113.77,113.8,112.9,113.11
2017-05-15,113.18,113.86,113.09,113.77
2017-05-12,113.84,113.97,113.17,113.18
2017-05-11,114.28,114.39,113.44,113.84
2017-05-10,113.97,114.36,113.61,114.28
2017-05-09,113.24,114.33,113.11,113.97
2017-05-08,112.97,113.31,112.36,113.24
2017-05-05,112.44,112.83,112.06,112.97
2017-05-04,112.73,113.05,112.29,112.44
2017-05-03,111.98,112.8,111.93,112.73
2017-05-02,111.83,112.33,111.75,111.98
2017-05-01,111.29,111.93,111.18,111.83
2017-04-28,111.23,111.72,111.04,111.29
2017-04-27,111.05,111.61,110.99,111.23
2017-04-26,111.08,111.8,110.85,111.05
2017-04-25,109.75,111.19,109.57,111.08
2017-04-24,110.24,110.64,109.63,109.75
2017-04-21,109.31,109.44,108.85,110.24
2017-04-20,108.84,109.49,108.69,109.31
2017-04-19,108.4,109.19,108.35,108.84
2017-04-18,108.89,109.23,108.29,108.4
2017-04-17,108.66,109.06,108.11,108.89
2017-04-14,109.06,109.25,108.52,108.66
2017-04-13,109,109.41,108.7,109.06
2017-04-12,109.6,109.89,108.93,109
2017-04-11,110.92,110.97,109.58,109.6
2017-04-10,111.09,111.58,110.78,110.92
2017-04-07,110.79,111.38,110.11,111.09
2017-04-06,110.68,111.14,110.27,110.79
2017-04-05,110.74,111.47,110.51,110.68
2017-04-04,110.87,110.97,110.24,110.74
2017-04-03,111.38,111.61,110.82,110.87
2017-03-31,111.9,112.2,111.21,111.38
2017-03-30,111.03,111.97,110.91,111.9
2017-03-29,111.12,111.33,110.69,111.03
2017-03-28,110.65,111.22,110.15,111.12
2017-03-27,111.22,111.27,110.09,110.65
2017-03-24,110.93,111.5,110.6,111.22
2017-03-23,111.15,111.58,110.6,110.93
2017-03-22,111.69,111.81,110.71,111.15
2017-03-21,112.53,112.88,111.53,111.69
2017-03-20,112.69,112.89,112.44,112.53
2017-03-17,113.3,113.5,112.53,112.69
2017-03-16,113.35,113.56,112.89,113.3
2017-03-15,114.72,114.91,113.15,113.35
2017-03-14,114.86,115.2,114.49,114.72
2017-03-13,114.8,114.93,114.46,114.86
2017-03-10,114.93,115.51,114.62,114.8
2017-03-09,114.34,115.03,114.29,114.93
2017-03-08,113.96,114.77,113.58,114.34
2017-03-07,113.87,114.17,113.7,113.96
2017-03-06,114,114.14,113.53,113.87
2017-03-03,114.39,114.77,113.81,114
2017-03-02,113.72,114.61,113.66,114.39
2017-03-01,112.76,114.06,112.71,113.72
2017-02-28,112.69,112.91,111.67,112.76
2017-02-27,112.07,112.86,111.89,112.69
2017-02-24,112.6,112.96,111.91,112.07
2017-02-23,113.28,113.47,112.53,112.6
2017-02-22,113.69,113.75,112.88,113.28
2017-02-21,113.06,113.78,113.06,113.69
2017-02-20,112.83,113.26,112.75,113.06
2017-02-17,113.22,113.53,112.58,112.83
2017-02-16,114.14,114.36,113.06,113.22
2017-02-15,114.22,114.97,113.83,114.14
2017-02-14,113.72,114.5,113.21,114.22
2017-02-13,113.31,114.17,113.26,113.72
2017-02-10,113.22,113.88,112.84,113.31
2017-02-09,111.93,113.38,111.7,113.22
2017-02-08,112.35,112.55,111.61,111.93
2017-02-07,111.73,112.58,111.57,112.35
2017-02-06,112.39,112.81,111.6,111.73
2017-02-03,112.77,113.45,112.28,112.39
2017-02-02,113.24,113.36,112.03,112.77
2017-02-01,112.79,113.97,112.61,113.24
2017-01-31,113.73,113.97,112.04,112.79
2017-01-30,115.08,115.14,113.43,113.73
2017-01-27,114.51,115.39,114.37,115.08
2017-01-26,113.26,114.86,113.02,114.51
2017-01-25,113.77,114,113.01,113.26
2017-01-24,112.69,113.91,112.49,113.77
2017-01-23,114.35,114.45,112.66,112.69
2017-01-20,114.85,115.41,114.19,114.35
2017-01-19,114.62,115.62,114.37,114.85
2017-01-18,112.6,114.77,112.55,114.62
2017-01-17,114.18,114.3,112.58,112.6
2017-01-16,114.53,114.55,113.65,114.18
2017-01-13,114.7,115.46,114.18,114.53
2017-01-12,115.4,115.53,113.73,114.7
2017-01-11,115.77,116.86,114.23,115.4
2017-01-10,116.01,116.35,115.18,115.77
2017-01-09,116.89,117.53,115.96,116.01
2017-01-06,115.34,117.19,115.04,116.89
2017-01-05,117.24,117.44,115.2,115.34
2017-01-04,117.74,118.19,117.02,117.24
2017-01-03,117.53,118.61,117.19,117.74
2017-01-02,116.91,117.69,116.71,117.53
2016-12-30,116.53,117.22,116.02,116.91
2016-12-29,117.23,117.27,116.19,116.53
2016-12-28,117.39,117.83,117.03,117.23
2016-12-27,117.06,117.64,117.04,117.39
2016-12-26,117.36,117.4,116.97,117.06
2016-12-23,117.51,117.67,117.14,117.36
