date,open,close,high,low,volume
2017-07-14,0.004,0.0027501,0.00449,0.002421,371334.202931
2017-07-15,0.0028511,0.0025,0.0033208,0.00242,1428379.72255
2017-07-16,0.0025,0.0024269,0.003,0.002108,1382356.2202
2017-07-17,0.0024115,0.0030688,0.0034999,0.0023775,699124.222726
2017-07-18,0.0030258,0.003344,0.00549,0.003019,1071483.33023
2017-07-19,0.0033583,0.0030639,0.0037298,0.0028132,581758.956812
2017-07-20,0.0030989,0.002922,0.00322,0.0026636,228294.441479
2017-07-21,0.0029202,0.0034749,0.00357,0.00285,85276.2136467
2017-07-22,0.003537,0.003727,0.0037852,0.0034,248230.108566
2017-07-23,0.00374,0.00652,0.00709,0.00374,772967.430963
2017-07-24,0.00652,0.0068,0.0071,0.0055259,529728.650143
2017-07-25,0.0070982,0.0061919,0.01128,0.0055,308480.312528
2017-07-26,0.0061775,0.0059,0.00631,0.0052435,200117.562114
2017-07-27,0.0059001,0.006879,0.0069,0.0058811,220234.267325
2017-07-28,0.0068466,0.006245,0.0068985,0.0058,194053.775203
2017-07-29,0.0062569,0.0064356,0.00649,0.0059207,35045.0738432
2017-07-30,0.0064356,0.0061602,0.0065,0.0059672,60066.4841346
2017-07-31,0.0063993,0.006098,0.0063999,0.0059212,65434.7411302
2017-08-01,0.0060051,0.0060877,0.00637,0.0056,137837.735838
2017-08-02,0.0060743,0.0064934,0.0064934,0.0056701,73244.3946059
2017-08-03,0.0063209,0.0089899,0.0094,0.0063,240499.124128
2017-08-04,0.0089899,0.0127,0.014127,0.0083785,462027.338303
2017-08-05,0.01282,0.014235,0.017283,0.01028,798102.050016
2017-08-06,0.014182,0.010515,0.014194,0.0097382,259177.835198
2017-08-07,0.010394,0.01151,0.012599,0.01004,224029.398084
2017-08-08,0.0114,0.012115,0.013,0.011058,361068.860759
2017-08-09,0.012552,0.011548,0.012588,0.01081,130229.798434
2017-08-10,0.011553,0.020445,0.02196,0.011365,1716042.89144
2017-08-11,0.019989,0.023497,0.02653,0.0178,880866.892796
2017-08-12,0.023497,0.020243,0.024085,0.0185,343552.049421
2017-08-13,0.019999,0.023,0.0258,0.018,494539.72703
2017-08-14,0.023385,0.02353,0.025,0.020938,293247.676723
2017-08-15,0.023501,0.023602,0.024344,0.021031,278040.780034
2017-08-16,0.023602,0.029649,0.030994,0.023268,609843.645391
2017-08-17,0.029802,0.028053,0.03169,0.026965,232074.666271
2017-08-18,0.027628,0.025155,0.028486,0.021213,264592.987569
2017-08-19,0.025151,0.026498,0.027198,0.02235,206399.635254
2017-08-20,0.026946,0.0282,0.03,0.024783,152995.921813
2017-08-21,0.0282,0.024,0.029,0.0213,336494.437199
2017-08-22,0.023873,0.024508,0.025036,0.0228,61020.013484
2017-08-23,0.02428,0.026,0.027469,0.02355,176934.337961
2017-08-24,0.025914,0.02563,0.02625,0.024651,71992.0195584
2017-08-25,0.02587,0.02471,0.02596,0.02403,45926.3706903
2017-08-26,0.025233,0.02509,0.025233,0.0238,115775.974421
2017-08-27,0.024721,0.02401,0.025021,0.023997,143800.385721
2017-08-28,0.023999,0.024863,0.0256,0.023999,184746.548094
2017-08-29,0.02482,0.02545,0.026416,0.024309,189856.271007
2017-08-30,0.02545,0.029326,0.03091,0.02545,431632.27231
2017-08-31,0.029326,0.03051,0.031548,0.028059,140218.406503
2017-09-01,0.030794,0.03085,0.032391,0.030001,131511.707799
2017-09-02,0.030999,0.03139,0.0314,0.0281,117623.639366
2017-09-03,0.031078,0.0307,0.031899,0.028971,118601.064337
2017-09-04,0.030641,0.029919,0.031798,0.02445,490323.457884
2017-09-05,0.02986,0.03495,0.035844,0.028,364340.719561
2017-09-06,0.03495,0.034455,0.036099,0.032398,310028.468158
2017-09-07,0.034308,0.037812,0.041744,0.0329,395702.774591
2017-09-08,0.03868,0.0376,0.039987,0.035,274864.110974
2017-09-09,0.03735,0.04077,0.04079,0.036455,242918.849058
2017-09-10,0.04046,0.038589,0.04099,0.03822,67361.6050359
2017-09-11,0.038589,0.038537,0.0393,0.038001,42334.6936745
2017-09-12,0.0385,0.03951,0.0458,0.0382,250857.9176
2017-09-13,0.039866,0.038615,0.040388,0.03651,147336.362751
2017-09-14,0.038683,0.036453,0.03972,0.033621,311840.314077
2017-09-15,0.036439,0.038719,0.0406,0.032032,187708.27069
2017-09-16,0.03859,0.039399,0.040398,0.03801,77869.3661037
2017-09-17,0.039421,0.03833,0.03945,0.0375,51234.6932056
2017-09-18,0.03833,0.037237,0.038894,0.03604,84923.8556698
2017-09-19,0.037198,0.035,0.0373,0.03431,101562.528632
2017-09-20,0.03502,0.032198,0.035169,0.031349,217214.093578
2017-09-21,0.032,0.03135,0.03355,0.03005,79279.7900033
2017-09-22,0.03134,0.032727,0.033547,0.030787,135820.376932
2017-09-23,0.032729,0.031464,0.034057,0.031356,34011.0278444
2017-09-24,0.031467,0.030463,0.031736,0.02975,61425.414886
2017-09-25,0.030463,0.033913,0.035111,0.030298,86914.0525141
2017-09-26,0.0339,0.033784,0.034974,0.03323,52104.1699343
2017-09-27,0.03408,0.0335,0.034886,0.033106,55870.1781809
2017-09-28,0.0335,0.034644,0.037443,0.033,195984.775291
2017-09-29,0.034644,0.032905,0.035112,0.0315,69927.1965394
2017-09-30,0.033551,0.033161,0.0341,0.032834,46059.6313316
2017-10-01,0.03333,0.032222,0.033655,0.031568,43131.4227306
2017-10-02,0.032428,0.031104,0.033172,0.0305,89946.3870294
2017-10-03,0.031001,0.0317,0.032031,0.02855,114986.093266
2017-10-04,0.031651,0.029619,0.031841,0.029159,111158.903864
2017-10-05,0.029619,0.0298,0.030646,0.0285,38881.6034091
2017-10-06,0.029987,0.02801,0.029987,0.028,31890.8586665
2017-10-07,0.028084,0.027305,0.028176,0.026436,58785.1369372
2017-10-08,0.027291,0.02485,0.02763,0.0246,76446.3935988
2017-10-09,0.024948,0.02523,0.026877,0.024115,61316.8822852
2017-10-10,0.02523,0.027152,0.02798,0.024654,49501.6282176
2017-10-11,0.027152,0.030351,0.03094,0.02708,128164.281161
2017-10-12,0.030357,0.027211,0.031098,0.026383,122881.077126
2017-10-13,0.027187,0.02451,0.027981,0.0236,106479.216288
